Year,All_persons,Male,Female
2016,323142,158186,164956
2015,321423,157168,164255
2014,318440,155866,162574
2013,315722,154100,161622
2012,313490,153191,160299
2011,311126,152053,159073
2010,308574,151577,156997
2009,306661,150587,156073
2008,304376,149362,155014
2007,301309,147629,153680
2006,299267,146942,152325
2005,296185,145116,151069
2004,293527,143869,149658
2003,290604,142265,148340
2002,288182,140802,147380
